IPN,MPN,Manufacturer,Description,Datasheet
ENC-0001-0023,WP-23*15,Polycase,A watertight polycarbonate enclosure 4.5 x 3.5 x 2.1 in,https://www.polycase.com/wp-23
ENC-0001-023F,WP-23F*15,Polycase,A watertight polycarbonate enclosure with flanges 4.5 x 3.5 x 2.1 in,https://www.polycase.com/wp-23f
