IPN,MPN,Manufacturer,Description,Symbol,Footprint,Datasheet
PWR-0000-0001,AOZ1353DI-01,Alpha and Omega,5V/3.5A USB Power Switch,g-pwr:AOZ1353DI,g-pwr:AOZ1353DI,https://aosmd.com/sites/default/files/res/datasheets/AOZ1353DI-01.pdf
PWR-0001-0001,TUSB321RWBR,TI,USB-C Logic/Port Control,g-pwr:TUSB321RWBR,g-pwr:RWB0012A,https://www.ti.com/lit/ds/symlink/tusb321.pdf
PWR-0002-0005,G2RL-1-DC5,Omron,Relay SPDT 5VDC,Relay:G2RL-1,g-pwr:Relay_SPDT_Omron_G2RL-1,https://www.mouser.com/datasheet/2/307/en_g2rl-472571.pdf
PWR-0003-0001,LTC3225EDDB#TRMPBF,Analog Devices,"Supercap Charger, 150mA",g-pwr:LTC3225,Package_DFN_QFN:DFN-10-1EP_2x3mm_P0.5mm_EP0.64x2.4mm,https://www.analog.com/media/en/technical-documentation/data-sheets/3225fb.pdf
PWR-0004-0001,AP2191AW-7,Diodes Incorporated,Power Switch/Driver 1:1 P-Channel 1.5A SOT-25,g-pwr:IC_AP2191AW_USB_LOAD_SW_1.5A,Package_TO_SOT_SMD:SOT-23-5;SOT-23-5_HandSoldering,https://www.diodes.com/assets/Datasheets/AP2181A-91A.pdf
