IPN,MPN,Manufacturer,Description,Symbol,Footprint,Datasheet
MCU-0000-0001,PIC16F18444T-I/GZ,Microchip Technology,PIC PIC® XLP™ 16F Microcontroller IC 8-Bit 32MHz 7KB (4K x 14) FLASH 20-UQFN (4x4),g-mcu:PIC16F18444,Package_DFN_QFN:UQFN-20-1EP_4x4mm_P0.5mm_EP2.8x2.8mm,https://ww1.microchip.com/downloads/en/DeviceDoc/40001894B.pdf
MCU-0001-0001,STM32L011K4T6TR,STMicroelectronics ,ARM® Cortex®-M0+ STM32L0 Microcontroller IC 32-Bit Single-Core 32MHz 16KB (16K x 8) FLASH 32-LQFP (7x7),g-mcu:STM32L011K4T6TR,Package_QFP:LQFP-32_7x7mm_P0.8mm,https://www.mouser.com/datasheet/2/389/stm32l011d4-1851207.pdf
MCU-0002-0001,STM32L432KCU6,STMicroelectronics ,ARM® Cortex®-M4 STM32L4 Microcontroller IC 32-Bit Single-Core 80MHz 256KB (256K x 8) FLASH 32-UFQFPN (5x5),g-mcu:STM32L432KC,Package_DFN_QFN:UFQFPN-32-1EP_5x5mm_P0.5mm_EP3.5x3.5mm;Package_DFN_QFN:UFQFPN-32-1EP_5x5mm_P0.5mm_EP3.5x3.5mm_ThermalVias,https://www.st.com/content/ccc/resource/technical/document/datasheet/24/01/9f/59/f0/83/47/fc/DM00257205.pdf/files/DM00257205.pdf/jcr:content/translations/en.DM00257205.pdf
MCU-0003-0001,STM32H723ZGT6,STMicroelectronics ,ARM® Cortex®-M7 STM32H7 Microcontroller IC 32-Bit Single-Core 550MHz 1MB (1M x 8) FLASH 144-LQFP (20x20),g-mcu:STM32H723ZG,Package_QFP:LQFP-144_20x20mm_P0.5mm,https://www.st.com/resource/en/datasheet/stm32h723ve.pdf
MCU-0004-0001,STM32L452CET6,STMicroelectronics ,ARM® Cortex®-M4 STM32L4 Microcontroller IC 32-Bit Single-Core 80MHz 512KB (512K x 8) FLASH 48-LQFP (7x7),g-mcu:STM32L452CET6,Package_QFP:LQFP-48_7x7mm_P0.5mm,https://www.st.com/content/ccc/resource/technical/document/datasheet/group3/fc/c2/8d/b7/99/d8/42/9e/DM00340549/files/DM00340549.pdf/jcr:content/translations/en.DM00340549.pdf
