IPN,MPN,Manufacturer,Description,Symbol,Footprint,Capacitance,Voltage,Material,Tolerance,Datasheet
CAP-0017-0334,CGA6M3X7T2E334K200AA,TDK Corporation,0.33uF 250V 1210 X7T,Device:C,Capacitor_SMD:C_1210_3225Metric,0.33uF,250V,X7T,10%,https://product.tdk.com/en/system/files?file=dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_midvoltage_en.pdf
CAP-0018-0222,C1206C222KGRACAUTO,Kemet,2200pF 2.2KV 1206 X7R,Device:C,Capacitor_SMD:C_1206_3216Metric,2200pF,2.2KV,X7R,10%,https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/datasheet/C1206C222KGRACAUTO
CAP-0019-0103,C0402C103K5RAC7867,Kemet,0.01uF 50V 0402 X7R,Device:C,Capacitor_SMD:C_0402_1005Metric,0.01uF,50V,X7R,10%,https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/datasheet/C0402C103K5RACTU
CAP-0019-0104,GRM155R71H104KE14D,Murata Electronics,0.1uF 50V 0402 X7R,Device:C,Capacitor_SMD:C_0402_1005Metric,0.1uF,50V,X7R,10%,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71H104KE14-01.pdf
CAP-0019-0222,CL05B222KB5VPNC,Samsung Electro-Mechanics,2200pF 50V 0402 X7R,Device:C,Capacitor_SMD:C_0402_1005Metric,2200pF,50V,X7R,10%,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2556/CL05B222KB5VPNC_Spec.pdf
CAP-0019-0223,GRM155R71H223KA12D,Murata Electronics,0.022uF 50V 0402 X7R,Device:C,Capacitor_SMD:C_0402_1005Metric,0.022uF,50V,X7R,10%,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71H223KA12-01.pdf
CAP-0019-0332,GCM155R71H333KE02D,Murata Electronics,0.033uF 50V 0402 X7R,Device:C,Capacitor_SMD:C_0402_1005Metric,0.033uF,50V,X7R,10%,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM155R71H333KE02-01A.pdf
CAP-0019-0682,CC0402KRX7R9BB682,YAGEO,6800pF 50V 0402 X7R,Device:C,Capacitor_SMD:C_0402_1005Metric,6800pF,50V,X7R,10%,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-250V_23.pdf
CAP-0019-0821,GCM155R71H821KA37D,Murata Electronics,820pF 50V 0402 X7R,Device:C,Capacitor_SMD:C_0402_1005Metric,820pF,50V,X7R,10%,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM155R71H821KA37-01A.pdf
CAP-0020-0476,GRM188R60J476ME15J,Murata Manufacturing Co. Ltd.,47uF 6.3V 0603 X5R,Device:C,Capacitor_SMD:C_0603_1608Metric,47uF,6.3V,X5R,20%,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM188R60J476ME15-01A.pdf
CAP-0023-0106,GJ821BR71H105KA12L,Murata Manufacturing Co. Ltd.,1uF 50V 0805 X7R,Device:C,Capacitor_SMD:C_0805:2012Metric,1uF,50V,X7R,10%,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GJ821BR71H105KA12-01.pdf
CAP-0025-0226,GRM21BR60J226ME39L,Murata Manufacturing Co. Ltd.,22uF 6.3V 0805 X5R,Device:C,Capacitor_SMD:C_0805:2012Metric,22uF,6.3V,X5R,20%,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR60J226ME39-01.pdf
CAP-0026-0225,GRM188R71A225KE15D,Murata Electronics North America,2.2uF 10V 0603 X5R,Device:C,Capacitor_SMD:C_0603_1608Metric,2.2uF,10V,X7R,10%,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM188R71A225KE15-01.pdf
CAP-0027-0106,C1608X5R1A106M080AC,TDK Corporation,10uF 10V 0603 X5R,Device:C,Capacitor_SMD:C_0603_1608Metric,10uF,10V,X5R,20%,https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf
CAP-0028-0225,C1206C225K4RAC7800,Kemet,2.2uF 16V 1206 X7R,Device:C,Capacitor_SMD:C_1206_3216Metric,2.2uF,16V,X7R,10%,https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/datasheet/C1206C225K4RACTU
CAP-0029-0226,CL32B226KOJVPJE,Samsung Electro-Mechanics,22uF 16V 1210 X7R,Device:C,Capacitor_SMD:C_1210_3225Metric,22uF,16V,X7R,10%,https://www.samsungsem.com/resources/file/global/support/product_catalog/MLCC.pdf
CAP-0030-0223,CGA2B3X7R0J224K050BB,TDK Corporation,0.22uF 6.3V 0402 X7R,Device:C,Capacitor_SMD:C_0402_1005Metric,0.22uF,6.3V,X7R,10%,https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf
CAP-0031-0567,APXG160ARA561MHA0G,Chemi-Con,560uF 16V CP-ELEC8X10 ALU-POLY,Device:C_Polarized_US,Capacitor_SMD:CP_Elec_8x10,560uF,16V,ALUM_POLY,20%,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/PXGRA-e.PDF
CAP-0032-0107,APXT160ARA101ME61G,Chemi-Con,100uF 16V CP-ELEC5X5.8 ALU-POLY,Device:C_Polarized_US,Capacitor_SMD:CP_Elec_5x5.8,100uF,16V,ALUM_POLY,20%,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/5011/PXT_Series_DS.pdf
CAP-0033-0105,GRT155C80J105KE01J,Murata Manufacturing Co. Ltd.,1uF 6.3V 0402 X6S,Device:C,Capacitor_SMD:C_0402_1005Metric,1uF,6.3V,X6S,10%,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRT155C80J105KE01-01.pdf
CAP-0033-0225,GRT155C80J225KE01J,Murata Manufacturing Co. Ltd.,2.2uF 6.3V 0402 X6S,Device:C,Capacitor_SMD:C_0402_1005Metric,2.2uF,6.3V,X6S,10%,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRT155C80J225KE01-01.pdf
CAP-0034-0226,CL31A226KAHNNNE,Samsung Electro-Mechanics,22uF 25V 1206 X5R,Device:C,Capacitor_SMD:C_1206_3216Metric,22uF,25V,X5R,10%,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/658/CL31A226KAHNNNE_Spec.pdf
